date,close
2016Mar,13350
2016Feb,6335
2016Jan,6485
2015Dec,13025
2015Nov,3320
2015Oct,2902
2015Sep,2406
2015Aug,3214
2015Jul,2556
2015Jun,2431
2015May,2665
2015Apr,2283
2015Mar,9889
2015Feb,4934
2015Jan,6686
2014Dec,3253
2014Nov,2416
2014Oct,2173
2014Sep,1917
2014Aug,1998
2014Jul,2078
2014Jun,1812
2014May,1581
2014Apr,1462
2014Mar,1893
2014Feb,1851
2014Jan,1730
2013Dec,2152
2013Nov,1726
2013Oct,1608
2013Sep,1388
2013Aug,1710
2013Jul,1695
2013Jun,1242
2013May,1427
2013Apr,1299
2013Mar,1555
2013Feb,1386
2013Jan,1357
2012Dec,1154
2012Nov,1398
2012Oct,1320
2012Sep,1363
2012Aug,1586
2012Jul,1341
2012Jun,1435
2012May,1400
2012Apr,1470
2012Mar,1448
2012Feb,1454
2012Jan,1951
2011Dec,1495
2011Nov,1616
2011Oct,1575
2011Sep,1246
2011Aug,1240
2011Jul,1586
2011Jun,1239
2011May,1320
2011Apr,1360
2011Mar,1201
2011Feb,1036
2011Jan,1145
2010Dec,861
2010Nov,836
2010Oct,930
2010Sep,945
2010Aug,997
2010Jul,959
2010Jun,940
2010May,1141
2010Apr,936
2010Mar,2342
2010Feb,751
2010Jan,998
2009Dec,825
2009Nov,940
2009Oct,1158
2009Sep,1180
2009Aug,1322
2009Jul,1566
2009Jun,1810
2009May,1879
2009Apr,2129
2009Mar,1919
2009Feb,1316
2009Jan,796
2008Dec,643
2008Nov,515
2008Oct,567
2008Sep,365
2008Aug,340
2008Jul,403
2008Jun,228
2008May,307
2008Apr,266
2008Mar,251
2008Feb,135
2008Jan,104
2007Dec,59
2007Nov,110
2007Oct,76
2007Sep,56
2007Aug,62
2007Jul,74
2007Jun,71
2007May,119
2007Apr,131
2007Mar,171
2007Feb,47
2007Jan,33
2006Dec,21
2006Nov,13
2006Oct,4
2006Sep,5
2006Aug,1
2006Jul,7
2006Apr,3
2006Mar,3
